Trecho|tempo_inicio|tempo_fim|comeca_locutor
queríamos. Porque jogador é o seguinte,|00:02:03.000|00:02:05.190|False
salário, eu sempre digo, salário é para|00:02:05.200|00:02:07.870|False
perder, bicho é para ganhar, né? E|00:02:07.880|00:02:10.270|False
quando você nem bicho os cara reagem, aí|00:02:10.280|00:02:12.910|False
você tem que reformular tudo. Nós|00:02:12.920|00:02:14.630|False
buscamos agora um elenco, quem ficou é|00:02:14.640|00:02:17.390|False
porque tem o nosso perfil e nós buscamos|00:02:17.400|00:02:20.430|False
um elenco agora com barriga mais vazia|00:02:20.440|00:02:23.110|False
dentro de uma realidade financeira.|00:02:23.120|00:02:25.030|False
Houve uma adequação profunda em relação|00:02:25.040|00:02:28.150|False
a salários.|00:02:28.160|00:02:31.229|False
Aí a fala do presidente atleticano|00:02:31.239|00:02:32.990|False
falando sobre essa reformulação, sobre a|00:02:33.000|00:02:34.910|False
questão salarial também. Diante dessa|00:02:34.920|00:02:37.790|False
situações dos jogadores que foram|00:02:37.800|00:02:39.470|False
contratados, uma provável escalação do|00:02:39.480|00:02:41.589|False
Dragão pra estreia contra o Anápolis no|00:02:41.599|00:02:43.869|False
Castelo do Dragão. Deve ter Paulo Víor|00:02:43.879|00:02:46.070|False
no gol, Mateus Ribeiro na lateral|00:02:46.080|00:02:48.149|False
direita, Nathan Felipe e Adriano Martins|00:02:48.159|00:02:50.790|False
na zaga, o Guilherme Lopes na lateral|00:02:50.800|00:02:53.229|False
esquerda. Meio de campo com Igor, Igor|00:02:53.239|00:02:55.229|False
Henrique, Jader Gentil e o Lima. Lá na|00:02:55.239|00:02:57.830|False
frente, Kevin Ramirez, Léo Jacó e|00:02:57.840|00:02:59.910|False
Vitinho. Essa deve ser uma provável|00:02:59.920|00:03:01.790|False
escalação do Dragão para esse duelo. Os|00:03:01.800|00:03:03.830|False
ingressos já estão sendo vendidos por|00:03:03.840|00:03:05.990|False
meio do site ingressosa|00:03:06.000|00:03:08.270|False
R$ 40 a inteira, R$ 20 a meia. Torcedor|00:03:08.280|00:03:11.270|False
com a camisa do dragão paga a meia|00:03:11.280|00:03:12.949|False
entrada e no dia do jogo os ingressos|00:03:12.959|00:03:14.789|False
serão comercializados nas bilheterias do|00:03:14.799|00:03:17.270|False
estádio Antônio Acioli. Tony Rabelo. As|00:03:17.280|00:03:19.309|False
informações do Dragão são em nome de|00:03:19.319|00:03:20.789|False
Link Telecom 100% fibra|00:03:20.799|00:03:25.360|False
